UICCode,code,lat,lng,bike_capacity,stnname
8400058,ASD,52.3788871765137,4.90027761459351,20,Amsterdam Centraal
8400170,DT,52.0066680908203,4.35638904571533,20,Delft
8400206,EHV,51.4433326721191,5.48138904571533,20,Eindhoven Centraal
8400282,GVC,52.0802764892578,4.32499980926514,20,Den Haag Centraal
8400530,RTD,51.9249992370605,4.46888875961304,20,Rotterdam Centraal
8400561,SHL,52.3094444274902,4.76194429397583,20,Schiphol Airport
8400621,UT,52.0888900756836,5.11027765274048,20,Utrecht Centraal
8400652,VS,51.4458351135254,3.59527778625488,20,Vlissingen
